R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3pm,PTS,TREB,AST,STL,BLK,TO,TOTAL
185,,Terance Mann,"SG,SF",LAC,80,25.1,0.499(3.8/7.6),0.780(1.4/1.8),1.1,10.1,4.4,2.5,0.6,0.3,1,-1.86
186,138.1,Gabe Vincent,"PG,SG",LAL,70,27.7,0.409(3.7/9.0),0.855(0.9/1.1),2,10.3,2.3,3.2,1,0.1,1.6,-1.87
187,,Maxi Kleber,"PF,C",DAL,60,25.6,0.456(2.6/5.8),0.705(0.8/1.1),1.3,7.4,5.3,1.3,0.5,1,0.8,-1.89
188,145.7,Isaiah Jackson,"PF,C",IND,67,16.5,0.563(3.1/5.5),0.663(1.6/2.5),0.1,7.9,4.5,0.6,0.6,1.5,1,-1.94
189,146.4,De'Andre Hunter,"SF,PF",ATL,68,31.4,0.453(5.4/12.0),0.797(2.6/3.2),1.5,14.9,3.9,1.4,0.6,0.3,1.3,-2.01
190,139.6,Naz Reid,"PF,C",MIN,72,16.4,0.516(3.7/7.1),0.724(1.3/1.9),0.9,9.5,4.3,1,0.6,0.8,1.2,-2.1
191,,Jose Alvarado,PG,NO,67,20.4,0.424(3.2/7.5),0.758(1.0/1.3),1.1,8.5,2.3,3.3,1.3,0.2,1.2,-2.11
192,148,Dillon Brooks,"SG,SF",HOU,70,28.4,0.408(5.7/14.0),0.805(1.9/2.4),1.8,15.2,3.2,2.6,0.9,0.2,1.4,-2.12
193,142.7,Marvin Bagley III,"PF,C",DET,46,22.8,0.515(4.6/8.9),0.751(1.6/2.1),0.5,11.3,6.6,0.8,0.4,0.5,0.9,-2.13
194,,Ayo Dosunmu,SG,CHI,76,26.6,0.495(3.6/7.2),0.800(0.9/1.1),0.8,8.8,2.8,3,0.8,0.4,1.3,-2.14
195,115.3,RJ Barrett,"SG,SF",NY,72,33.6,0.433(6.9/16.0),0.750(4.0/5.4),1.8,19.7,5.4,2.8,0.5,0.2,2.2,-2.15
196,,Nassir Little,"SF,PF",POR,58,26,0.451(3.6/7.9),0.730(1.3/1.8),1.4,9.8,4.8,1.3,0.6,0.7,1,-2.16
197,,Andrew Nembhard,"PG,SG",IND,72,26.2,0.440(3.6/8.2),0.797(0.6/0.8),1.2,9.1,2.5,4.4,0.9,0.2,1.6,-2.21
198,,Santi Aldama,"PF,C",MEM,75,23.1,0.457(3.4/7.5),0.726(1.5/2.0),1.1,9.5,5.2,1.4,0.6,0.7,0.9,-2.34
199,148,Jalen Suggs,"PG,SG",ORL,56,23.8,0.401(3.6/9.0),0.752(2.0/2.7),1,10.3,3.1,3.4,1.2,0.4,2.2,-2.36
200,140.1,Mason Plumlee,C,LAC,75,23.4,0.664(3.3/4.9),0.550(1.6/3.0),0,8.2,7.8,2.9,0.7,0.6,1.3,-2.36
