R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3pm,PTS,TREB,AST,STL,BLK,TO,TOTAL
106,126.6,Immanuel Quickley,"PG,SG",NY,76,28.6,0.448(5.2/11.6),0.847(2.7/3.1),2.1,15.2,4.1,3.9,1,0.1,1.4,1.19
107,117.3,Bruce Brown,"PG,SG,SF",IND,70,29.8,0.488(4.6/9.4),0.756(1.6/2.1),1,11.7,5,3.1,1.2,0.8,1.3,1.19
108,138.6,Herbert Jones,"SF,PF",NO,69,30,0.473(3.6/7.6),0.803(1.8/2.3),0.8,9.8,4,2.3,1.7,0.7,1.3,1.17
109,106.8,Jalen Duren,C,DET,70,28.2,0.648(4.4/6.8),0.612(1.6/2.7),0,10.4,10.1,1.3,0.8,1.2,1.6,1.16
110,111.5,Ivica Zubac,C,LAC,76,27.5,0.630(4.4/7.0),0.713(2.3/3.2),0,11.1,9.7,1.4,0.5,1.2,1.6,1.14
111,84.4,Marcus Smart,PG,MEM,67,31.8,0.417(4.2/10.0),0.777(1.7/2.2),1.8,11.8,3.5,5.3,1.6,0.3,2.3,1.12
112,109.6,Bobby Portis,"PF,C",MIL,71,27.2,0.487(5.8/12.0),0.759(1.3/1.7),1.6,14.6,9.5,1.4,0.6,0.5,1.2,1.12
113,99.7,Jabari Smith Jr.,"PF,C",HOU,79,32.2,0.433(5.4/12.5),0.779(2.3/3.0),1.7,14.8,8,1.4,0.6,1.2,1.5,1.08
114,97.8,Wendell Carter Jr.,C,ORL,62,29.9,0.525(5.8/11.1),0.714(2.5/3.4),1.3,15.4,8.7,2.2,0.6,0.7,1.9,1.07
115,128.4,Mike Conley,PG,MIN,68,29.4,0.432(4.2/9.7),0.813(1.9/2.3),2.1,12.4,2.8,6,1.1,0.2,1.6,1.05
116,96.5,Spencer Dinwiddie,PG,BKN,73,33.5,0.429(5.5/12.8),0.795(3.3/4.2),2.1,16.5,4,6.2,0.8,0.3,1.8,1.04
117,108.4,Tre Jones,PG,SA,69,29.2,0.469(4.8/10.2),0.831(2.1/2.5),0.5,12.1,3.8,6.4,1.2,0.2,1.5,0.94
118,150.4,Matisse Thybulle,"SG,SF",POR,72,28,0.462(2.7/5.8),0.743(0.5/0.7),1.2,7,2.9,1.3,1.7,1,0.6,0.81
119,94.7,Scoot Henderson,PG,POR,72,30,0.442(6.2/14.1),0.794(2.0/2.5),1.4,15.9,5,5.6,1.1,0.3,3.3,0.79
120,139.2,Kentavious Caldwell-Pope,"SG,SF",DEN,76,31.1,0.450(4.4/9.7),0.839(1.6/1.9),1.8,12.1,3.1,2.2,1.4,0.4,1.2,0.68
121,92,Andrew Wiggins,"SF,PF",GS,69,32.5,0.468(6.8/14.4),0.629(1.8/2.9),2.3,17.6,4.8,2.3,1.1,0.7,1.5,0.64
122,124.6,Kevin Huerter,"SG,SF",SAC,74,30,0.470(5.3/11.2),0.754(1.0/1.3),2.5,14,3.5,2.9,0.9,0.4,1.3,0.6
123,134.7,Kyle Anderson,"SF,PF",MIN,69,25.8,0.497(3.7/7.3),0.694(1.3/1.8),0.6,9.2,5.6,3.9,1.1,0.8,1.3,0.59
124,114.7,Jaden McDaniels,"SF,PF",MIN,74,30.8,0.492(4.6/9.4),0.755(1.2/1.6),1.4,11.8,4.4,1.7,0.9,1,1.4,0.5
125,138.4,Jarred Vanderbilt,PF,LAL,76,26.4,0.564(3.3/5.8),0.675(1.3/1.9),0.2,8,8.6,2,1.3,0.5,1.2,0.4
126,111.7,Jusuf Nurkic,C,POR,54,28,0.527(5.6/10.6),0.678(3.0/4.4),0.6,14.7,9,2.9,0.8,0.8,2.5,0.39
127,139.8,Gordon Hayward,SF,CHA,50,30,0.466(5.4/11.6),0.828(2.5/3.0),1.3,14.6,4.2,3.7,0.9,0.3,1.7,0.35
128,137.2,Ben Simmons,"PG,SG,PF",BKN,50,26.3,0.553(4.0/7.1),0.438(0.6/1.4),0,8.5,6.3,6.2,1.3,0.6,2.3,0.32
129,,Delon Wright,"PG,SG",WAS,68,24,0.465(2.4/5.1),0.857(1.0/1.1),0.8,6.5,3.6,3.5,1.6,0.3,0.8,0.27
130,129.8,Obi Toppin,PF,IND,70,29.5,0.483(5.7/11.9),0.812(1.7/2.1),1.5,14.7,5.6,1.6,0.6,0.6,1.2,0.26
131,123.6,Jordan Clarkson,"PG,SG",UTA,68,31,0.431(7.0/16.3),0.821(2.6/3.2),2.6,19.2,3.9,3.5,0.8,0.2,2.4,0.25
132,113.1,Aaron Gordon,PF,DEN,70,31.3,0.541(6.2/11.4),0.665(2.6/3.9),1.1,16,6.3,2.8,0.7,0.7,1.7,0.18
133,144,Norman Powell,"SG,SF",LAC,60,27.1,0.471(5.6/11.9),0.812(3.8/4.6),2,17,2.9,1.9,0.8,0.4,1.5,0.04
134,134.5,Bogdan Bogdanovic,"SG,SF,PF",ATL,52,26.8,0.438(5.0/11.3),0.839(1.3/1.6),2.5,13.8,3.4,2.8,0.9,0.3,1.1,0.01
135,,Josh Richardson,SG,MIA,65,27.5,0.435(4.2/9.7),0.869(1.5/1.7),1.9,11.7,3.2,2.6,1.1,0.4,1.4,-0.02
136,148.3,Donte DiVincenzo,"SG,SF",NY,70,25.1,0.426(3.1/7.3),0.830(1.1/1.4),2,9.3,4.3,3.2,1.3,0.2,1.6,-0.03
137,144.9,Caleb Martin,"SG,SF",MIA,70,29.6,0.482(4.0/8.3),0.782(1.4/1.8),1.3,10.7,5,1.6,1.1,0.5,1.1,-0.04
138,150.8,Patrick Williams,PF,CHI,72,29.3,0.473(4.0/8.4),0.847(1.3/1.6),1.4,10.7,4.3,1.2,0.9,0.9,1.3,-0.05
139,141.9,P.J. Washington,PF,CHA,72,27.2,0.453(4.5/10.0),0.728(1.2/1.7),1.7,12,4.6,2.1,0.8,0.9,1.3,-0.08
140,135.1,Saddiq Bey,"SF,PF",ATL,78,30.2,0.422(5.3/12.6),0.843(2.5/3.0),2.2,15.3,4.9,2.1,0.9,0.2,1,-0.11
141,141.3,Kyle Lowry,PG,MIA,60,26.2,0.425(3.3/7.7),0.858(1.8/2.1),1.7,10,3.5,5.2,0.9,0.3,1.9,-0.11
142,141.1,Alex Caruso,"PG,SG",CHI,64,25.1,0.428(2.2/5.1),0.801(1.1/1.4),0.9,6.3,3.2,3.3,1.6,0.6,1.3,-0.14
143,,Jevon Carter,"PG,SG",CHI,72,28.4,0.424(3.7/8.6),0.831(0.5/0.6),2.2,10,3.3,3.8,1,0.5,1.2,-0.17
144,121,Kevin Porter Jr.,"PG,SG",HOU,63,25.5,0.432(4.8/11.0),0.778(2.2/2.8),1.9,13.6,3.8,4.7,1,0.3,2.5,-0.2
145,125.1,Brandon Miller,SF,CHA,72,30,0.433(5.4/12.6),0.836(1.9/2.3),2.2,15,4.8,2,0.8,0.3,1.4,-0.23
146,150.3,Cole Anthony,PG,ORL,64,25,0.439(4.4/10.1),0.872(2.6/3.0),1.5,12.9,4.5,4,0.6,0.3,1.8,-0.26
147,146.6,Tari Eason,"SF,PF",HOU,78,23.3,0.454(4.0/8.8),0.751(1.5/1.9),0.8,10.2,6.6,1.2,1.3,0.6,1.4,-0.33
