MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-
41.0,3,12.0,25.0,,,,13,16,81.3,,,13.0,8.0,,,,2.0,19,
44.0,9,22.0,40.9,,,,10,11,90.9,,,14.0,11.0,,,,4.0,28,
36.0,6,16.0,37.5,,,,1,2,50.0,,,5.0,9.0,,,,2.0,13,
43.0,8,21.0,38.1,,,,7,8,87.5,,,5.0,5.0,,,,0.0,23,
42.0,14,20.0,70.0,,,,8,8,100.0,,,6.0,10.0,,,,2.0,36,
,14,25.0,56.0,,,,13,13,100.0,,,10.0,15.0,,,,3.0,41,
41.0,6,13.0,46.2,,,,3,4,75.0,,,10.0,9.0,,,,2.0,15,
,14,28.0,50.0,,,,12,15,80.0,,,7.0,4.0,,,,4.0,40,
39.0,5,12.0,41.7,,,,2,4,50.0,,,10.0,7.0,,,,3.0,12,
41.0,9,16.0,56.3,,,,1,1,100.0,,,2.0,4.0,,,,2.0,19,
47.0,10,19.0,52.6,,,,3,4,75.0,,,10.0,11.0,,,,2.0,23,
40.0,5,11.0,45.5,,,,3,5,60.0,,,1.0,6.0,,,,1.0,13,
36.0,6,16.0,37.5,,,,12,16,75.0,,,1.0,4.0,,,,1.0,24,
25.0,5,6.0,83.3,,,,2,3,66.7,,,2.0,9.0,,,,0.0,12,
42.0,10,15.0,66.7,,,,9,10,90.0,,,6.0,11.0,,,,3.0,29,
,10,27.0,37.0,,,,10,10,100.0,,,8.0,,,,,3.0,30,
4.0,0,1.0,0.0,,,,0,0,,,,0.0,1.0,,,,0.0,0,
,12,25.0,48.0,,,,7,8,87.5,,,7.0,,,,,0.0,31,
,7,17.0,41.2,,,,13,14,92.9,,,5.0,13.0,,,,2.0,27,
,9,16.0,56.3,,,,2,4,50.0,,,8.0,,,,,5.0,20,
51.0,13,23.0,56.5,,,,5,7,71.4,,,2.0,7.0,,,,3.0,31,
44.0,12,24.0,50.0,,,,4,6,66.7,,,3.0,9.0,,,,1.0,28,
53.0,15,30.0,50.0,,,,8,8,100.0,,,6.0,8.0,,,,3.0,38,
,13,28.0,46.4,,,,7,8,87.5,,,6.0,6.0,,,,1.0,33,
44.0,6,18.0,33.3,,,,5,9,55.6,,,5.0,8.0,,,,2.0,17,
45.0,9,17.0,52.9,,,,10,13,76.9,,,5.0,8.0,,,,1.0,28,
52.0,14,25.0,56.0,,,,9,9,100.0,,,5.0,10.0,,,,5.0,37,
35.0,3,11.0,27.3,,,,1,6,16.7,,,5.0,7.0,,,,2.0,7,
,18,34.0,52.9,,,,8,10,80.0,,,7.0,7.0,,,,2.0,44,
44.0,10,18.0,55.6,,,,15,16,93.8,,,4.0,11.0,,,,4.0,35,
48.0,10,19.0,52.6,,,,11,11,100.0,,,7.0,7.0,,,,4.0,31,
45.0,10,19.0,52.6,,,,5,5,100.0,,,4.0,6.0,,,,2.0,25,
35.0,8,14.0,57.1,,,,6,7,85.7,,,9.0,8.0,,,,1.0,22,
40.0,14,30.0,46.7,,,,8,9,88.9,,,5.0,4.0,,,,5.0,36,
42.0,14,24.0,58.3,,,,4,5,80.0,,,3.0,6.0,,,,2.0,32,
40.0,10,17.0,58.8,,,,6,8,75.0,,,8.0,8.0,,,,3.0,26,
36.0,8,13.0,61.5,,,,6,8,75.0,,,1.0,9.0,,,,1.0,22,
43.0,15,23.0,65.2,,,,3,4,75.0,,,6.0,10.0,,,,6.0,33,
,9,18.0,50.0,,,,5,6,83.3,,,9.0,13.0,,,,4.0,23,
48.0,15,25.0,60.0,,,,9,9,100.0,,,6.0,9.0,,,,5.0,39,
39.0,15,20.0,75.0,,,,11,14,78.6,,,6.0,9.0,,,,2.0,41,
,7,20.0,35.0,,,,7,9,77.8,,,6.0,9.0,,,,3.0,21,
,6,16.0,37.5,,,,2,2,100.0,,,7.0,3.0,,,,1.0,14,
,6,15.0,40.0,,,,6,9,66.7,,,5.0,,,,,5.0,18,
,9,15.0,60.0,,,,7,8,87.5,,,10.0,12.0,,,,1.0,25,
,16,25.0,64.0,,,,6,6,100.0,,,5.0,11.0,,,,4.0,38,
34.0,5,13.0,38.5,,,,3,5,60.0,,,6.0,6.0,,,,2.0,13,
,10,18.0,55.6,,,,13,17,76.5,,,5.0,5.0,,,,5.0,33,
43.0,7,13.0,53.8,,,,8,10,80.0,,,3.0,7.0,,,,4.0,22,
36.0,11,17.0,64.7,,,,4,6,66.7,,,8.0,4.0,,,,2.0,26,
43.0,8,17.0,47.1,,,,14,17,82.4,,,8.0,4.0,,,,0.0,30,
44.0,6,13.0,46.2,,,,0,1,0.0,,,5.0,11.0,,,,2.0,12,
46.0,6,13.0,46.2,,,,4,6,66.7,,,7.0,11.0,,,,2.0,16,
51.0,13,30.0,43.3,,,,9,10,90.0,,,12.0,10.0,,,,5.0,35,
28.0,8,16.0,50.0,,,,7,13,53.8,,,4.0,5.0,,,,4.0,23,
40.0,9,18.0,50.0,,,,7,11,63.6,,,6.0,6.0,,,,2.0,25,
,8,26.0,30.8,,,,2,2,100.0,,,7.0,7.0,,,,3.0,18,
28.0,1,8.0,12.5,,,,2,2,100.0,,,4.0,4.0,,,,3.0,4,
35.0,5,13.0,38.5,,,,5,5,100.0,,,4.0,5.0,,,,2.0,15,
40.0,6,9.0,66.7,,,,2,3,66.7,,,8.0,13.0,,,,4.0,14,
34.0,8,16.0,50.0,,,,4,9,44.4,,,5.0,4.0,,,,3.0,20,
43.0,9,18.0,50.0,,,,10,11,90.9,,,3.0,2.0,,,,3.0,28,
45.0,8,19.0,42.1,,,,4,5,80.0,,,6.0,8.0,,,,3.0,20,
41.0,10,19.0,52.6,,,,4,4,100.0,,,11.0,7.0,,,,4.0,24,
48.0,8,17.0,47.1,,,,2,2,100.0,,,10.0,16.0,,,,5.0,18,
44.0,13,23.0,56.5,,,,6,8,75.0,,,9.0,9.0,,,,3.0,32,
40.0,8,12.0,66.7,,,,8,9,88.9,,,7.0,5.0,,,,2.0,24,
43.0,12,20.0,60.0,,,,5,6,83.3,,,12.0,10.0,,,,3.0,29,
42.0,9,20.0,45.0,,,,6,8,75.0,,,4.0,5.0,,,,1.0,24,
35.0,5,10.0,50.0,,,,8,9,88.9,,,2.0,9.0,,,,0.0,18,
38.0,9,15.0,60.0,,,,8,10,80.0,,,4.0,8.0,,,,3.0,26,
40.0,12,17.0,70.6,,,,2,2,100.0,,,7.0,6.0,,,,2.0,26,
41.0,5,12.0,41.7,,,,10,10,100.0,,,6.0,10.0,,,,5.0,20,
43.0,6,16.0,37.5,,,,3,4,75.0,,,7.0,11.0,,,,1.0,15,
45.0,13,18.0,72.2,,,,2,2,100.0,,,5.0,8.0,,,,2.0,28,
44.0,7,13.0,53.8,,,,3,3,100.0,,,7.0,9.0,,,,2.0,17,
40.0,7,16.0,43.8,,,,4,5,80.0,,,4.0,8.0,,,,4.0,18,
36.0,8,15.0,53.3,,,,1,2,50.0,,,9.0,8.0,,,,2.0,17,
40.0,8,13.0,61.5,,,,9,9,100.0,,,4.0,9.0,,,,5.0,25,
37.0,7,11.0,63.6,,,,5,6,83.3,,,9.0,9.0,,,,5.0,19,
47.0,10,20.0,50.0,,,,5,6,83.3,,,10.0,14.0,,,,3.0,25,
37.0,9,15.0,60.0,,,,2,3,66.7,,,8.0,12.0,,,,2.0,20,
34.0,8,14.0,57.1,,,,3,5,60.0,,,6.0,11.0,,,,0.0,19,
37.0,6,13.0,46.2,,,,4,7,57.1,,,4.0,7.0,,,,2.0,16,
38.0,7,11.0,63.6,,,,5,6,83.3,,,9.0,10.0,,,,3.0,19,
37.0,5,14.0,35.7,,,,4,4,100.0,,,8.0,9.0,,,,3.0,14,
30.0,3,6.0,50.0,,,,7,7,100.0,,,3.0,7.0,,,,1.0,13,
40.0,7,15.0,46.7,,,,7,9,77.8,,,10.0,6.0,,,,1.0,21,
39.0,7,16.0,43.8,,,,3,3,100.0,,,3.0,7.0,,,,2.0,17,
43.0,8,20.0,40.0,,,,4,5,80.0,,,5.0,2.0,,,,5.0,20,
44.0,9,16.0,56.3,,,,11,12,91.7,,,5.0,15.0,,,,4.0,29,
30.0,10,12.0,83.3,,,,3,3,100.0,,,2.0,5.0,,,,2.0,23,
35.0,3,13.0,23.1,,,,3,4,75.0,,,5.0,8.0,,,,3.0,9,
43.0,7,17.0,41.2,,,,3,7,42.9,,,4.0,4.0,,,,2.0,17,
35.0,0,5.0,0.0,,,,6,6,100.0,,,4.0,5.0,,,,3.0,6,
39.0,9,19.0,47.4,,,,3,3,100.0,,,3.0,8.0,,,,0.0,21,
28.0,5,6.0,83.3,,,,4,6,66.7,,,4.0,5.0,,,,0.0,14,
32.0,7,14.0,50.0,,,,5,5,100.0,,,4.0,9.0,,,,2.0,19,
41.0,9,14.0,64.3,,,,6,7,85.7,,,7.0,7.0,,,,2.0,24,
45.0,11,19.0,57.9,,,,13,15,86.7,,,9.0,13.0,,,,4.0,35,
40.0,10,18.0,55.6,,,,3,4,75.0,,,5.0,10.0,,,,4.0,23,
36.0,9,17.0,52.9,,,,1,1,100.0,,,5.0,7.0,,,,3.0,19,
31.0,4,11.0,36.4,,,,5,5,100.0,,,5.0,8.0,,,,1.0,13,
44.0,9,19.0,47.4,,,,5,5,100.0,,,3.0,8.0,,,,0.0,23,
36.0,5,10.0,50.0,,,,2,2,100.0,,,6.0,13.0,,,,0.0,12,
37.0,8,16.0,50.0,,,,6,7,85.7,,,6.0,7.0,,,,1.0,22,
34.0,9,19.0,47.4,,,,4,5,80.0,,,7.0,7.0,,,,2.0,22,
39.0,7,11.0,63.6,,,,5,6,83.3,,,8.0,10.0,,,,1.0,19,
,9,16.0,56.3,,,,4,4,100.0,,,,11.0,,,,5.0,22,
44.0,6,14.0,42.9,,,,3,3,100.0,,,9.0,3.0,,,,1.0,15,
40.0,7,16.0,43.8,,,,10,12,83.3,,,11.0,9.0,,,,2.0,24,
44.0,11,17.0,64.7,,,,4,5,80.0,,,1.0,5.0,,,,2.0,26,
44.0,8,18.0,44.4,,,,3,4,75.0,,,2.0,12.0,,,,0.0,19,
38.0,8,10.0,80.0,,,,6,6,100.0,,,6.0,13.0,,,,1.0,22,
30.0,6,12.0,50.0,,,,2,2,100.0,,,2.0,3.0,,,,2.0,14,
36.0,5,11.0,45.5,,,,1,1,100.0,,,4.0,13.0,,,,1.0,11,
45.0,7,15.0,46.7,,,,5,5,100.0,,,6.0,7.0,,,,5.0,19,
40.0,7,10.0,70.0,,,,8,9,88.9,,,6.0,4.0,,,,2.0,22,
45.0,7,14.0,50.0,,,,3,3,100.0,,,6.0,13.0,,,,1.0,17,
44.0,10,22.0,45.5,,,,6,6,100.0,,,6.0,5.0,,,,4.0,26,
39.0,7,14.0,50.0,,,,4,5,80.0,,,3.0,7.0,,,,4.0,18,
35.0,4,10.0,40.0,,,,7,7,100.0,,,4.0,9.0,,,,4.0,15,
47.0,9,12.0,75.0,,,,6,7,85.7,,,3.0,12.0,,,,5.0,24,
42.0,5,13.0,38.5,,,,4,4,100.0,,,4.0,9.0,,,,2.0,14,
42.0,11,17.0,64.7,,,,3,5,60.0,,,11.0,9.0,,,,3.0,25,
40.0,3,9.0,33.3,,,,0,0,,,,3.0,3.0,,,,3.0,6,
40.0,6,14.0,42.9,,,,7,9,77.8,,,5.0,6.0,,,,4.0,19,
42.0,6,18.0,33.3,,,,3,3,100.0,,,4.0,10.0,,,,2.0,15,
46.0,11,19.0,57.9,,,,5,5,100.0,,,8.0,12.0,,,,3.0,27,
,3,,,,,,7,9,77.8,,,,,,,,,13,
42.0,10,15.0,66.7,,,,6,7,85.7,,,9.0,10.0,,,,3.0,26,
37.0,2,17.0,11.8,,,,4,5,80.0,,,8.0,9.0,,,,3.0,8,
22.0,2,6.0,33.3,,,,2,2,100.0,,,4.0,7.0,,,,2.0,6,
43.0,6,13.0,46.2,,,,7,9,77.8,,,5.0,8.0,,,,0.0,19,
35.0,7,14.0,50.0,,,,3,5,60.0,,,5.0,13.0,,,,5.0,17,
,8,,,,,,8,9,88.9,,,,,,,,3.0,24,
43.0,11,18.0,61.1,,,,4,5,80.0,,,2.0,11.0,,,,4.0,26,
44.0,5,21.0,23.8,,,,5,5,100.0,,,5.0,4.0,,,,2.0,15,
33.0,6,,,,,,1,1,100.0,,,,5.0,,,,,13,
24.0,8,12.0,66.7,,,,5,6,83.3,,,5.0,9.0,,,,3.0,21,
35.0,4,20.0,20.0,,,,4,5,80.0,,,6.0,4.0,,,,2.0,12,
42.0,9,23.0,39.1,,,,7,9,77.8,,,7.0,7.0,,,,3.0,25,
19.0,1,8.0,12.5,,,,3,4,75.0,,,3.0,2.0,,,,2.0,5,
28.0,6,16.0,37.5,,,,2,3,66.7,,,6.0,4.0,,,,2.0,14,
30.0,8,19.0,42.1,,,,1,3,33.3,,,4.0,8.0,,,,0.0,17,
24.0,2,,,,,,2,2,100.0,,,,7.0,,,,,6,
32.0,6,12.0,50.0,,,,1,1,100.0,,,1.0,9.0,,,,0.0,13,
41.0,9,19.0,47.4,,,,7,8,87.5,,,5.0,8.0,,,,0.0,25,
43.0,14,20.0,70.0,,,,5,5,100.0,,,9.0,9.0,,,,2.0,33,
38.0,5,11.0,45.5,,,,8,9,88.9,,,8.0,4.0,,,,4.0,18,
35.0,5,13.0,38.5,,,,4,5,80.0,,,7.0,8.0,,,,3.0,14,
35.0,7,18.0,38.9,,,,0,1,0.0,,,8.0,7.0,,,,1.0,14,
35.0,5,16.0,31.3,,,,2,2,100.0,,,6.0,8.0,,,,1.0,12,
41.0,7,13.0,53.8,,,,10,12,83.3,,,3.0,6.0,,,,3.0,24,
34.0,9,14.0,64.3,,,,5,5,100.0,,,7.0,10.0,,,,2.0,23,
36.0,6,14.0,42.9,,,,5,6,83.3,,,5.0,12.0,,,,3.0,17,
31.0,4,9.0,44.4,,,,5,5,100.0,,,3.0,10.0,,,,0.0,13,
45.0,8,18.0,44.4,,,,5,5,100.0,,,1.0,7.0,,,,2.0,21,
39.0,9,19.0,47.4,,,,5,7,71.4,,,8.0,8.0,,,,3.0,23,
39.0,5,14.0,35.7,,,,7,7,100.0,,,6.0,9.0,,,,2.0,17,
,13,,,,,,5,5,100.0,,,8.0,6.0,,,,,31,
40.0,9,19.0,47.4,,,,8,8,100.0,,,4.0,10.0,,,,1.0,26,
38.0,9,16.0,56.3,,,,4,4,100.0,,,4.0,11.0,,,,3.0,22,
45.0,8,21.0,38.1,,,,10,12,83.3,,,6.0,4.0,,,,3.0,26,
35.0,5,10.0,50.0,,,,5,5,100.0,,,4.0,10.0,,,,1.0,15,
39.0,6,11.0,54.5,,,,5,5,100.0,,,3.0,7.0,,,,4.0,17,
42.0,4,13.0,30.8,,,,3,3,100.0,,,3.0,9.0,,,,2.0,11,
,5,,,,,,9,10,90.0,,,,,,,,,19,
42.0,5,12.0,41.7,,,,5,6,83.3,,,5.0,4.0,,,,2.0,15,
,7,,,,,,3,6,50.0,,,7.0,,,,,,17,
44.0,11,17.0,64.7,,,,5,7,71.4,,,5.0,4.0,,,,2.0,27,
,9,15.0,60.0,,,,2,2,100.0,,,,,,,,,20,
44.0,13,24.0,54.2,,,,3,3,100.0,,,,,,,,,29,
40.0,6,13.0,46.2,,,,3,3,100.0,,,6.0,6.0,,,,2.0,15,
42.0,4,11.0,36.4,,,,6,8,75.0,,,6.0,10.0,,,,2.0,14,
36.0,7,14.0,50.0,,,,4,4,100.0,,,9.0,12.0,,,,1.0,18,
41.0,7,18.0,38.9,,,,3,3,100.0,,,4.0,11.0,,,,3.0,17,
34.0,5,9.0,55.6,,,,7,8,87.5,,,1.0,10.0,,,,1.0,17,
,12,15.0,80.0,,,,1,1,100.0,,,2.0,14.0,,,,,25,
40.0,4,11.0,36.4,,,,1,1,100.0,,,4.0,7.0,,,,0.0,9,
,7,,,,,,3,4,75.0,,,,,,,,,17,
,6,,,,,,3,4,75.0,,,,,,,,,15,
42.0,8,22.0,36.4,,,,2,3,66.7,,,5.0,5.0,,,,3.0,18,
41.0,10,17.0,58.8,,,,5,6,83.3,,,8.0,6.0,,,,0.0,25,
42.0,6,14.0,42.9,,,,3,3,100.0,,,4.0,6.0,,,,4.0,15,
35.0,8,13.0,61.5,,,,0,1,0.0,,,5.0,9.0,,,,3.0,16,
38.0,5,,,,,,7,8,87.5,,,,,,,,1.0,17,
,6,,,,,,10,11,90.9,,,,,,,,,22,
,5,,,,,,2,4,50.0,,,,,,,,,12,
39.0,8,14.0,57.1,,,,4,5,80.0,,,4.0,11.0,,,,3.0,20,
43.0,8,15.0,53.3,,,,6,6,100.0,,,5.0,6.0,,,,2.0,22,
36.0,3,7.0,42.9,,,,5,8,62.5,,,6.0,10.0,,,,1.0,11,
46.0,5,17.0,29.4,,,,0,2,0.0,,,5.0,8.0,,,,2.0,10,
32.0,5,12.0,41.7,,,,3,3,100.0,,,5.0,11.0,,,,0.0,13,
20.0,3,6.0,50.0,,,,5,8,62.5,,,1.0,2.0,,,,2.0,11,
33.0,7,11.0,63.6,,,,4,4,100.0,,,4.0,8.0,,,,3.0,18,
37.0,5,8.0,62.5,,,,1,5,20.0,,,8.0,5.0,,,,3.0,11,
33.0,5,9.0,55.6,,,,7,8,87.5,,,6.0,9.0,,,,1.0,17,
33.0,3,8.0,37.5,,,,2,3,66.7,,,7.0,11.0,,,,0.0,8,
32.0,3,6.0,50.0,,,,12,13,92.3,,,3.0,6.0,,,,3.0,18,
42.0,4,14.0,28.6,,,,3,3,100.0,,,5.0,6.0,,,,4.0,11,
34.0,7,16.0,43.8,,,,3,3,100.0,,,9.0,17.0,,,,1.0,17,
44.0,10,16.0,62.5,,,,5,6,83.3,,,6.0,9.0,,,,5.0,25,
38.0,10,13.0,76.9,,,,4,4,100.0,,,5.0,14.0,,,,4.0,24,
47.0,8,12.0,66.7,,,,7,7,100.0,,,5.0,14.0,,,,2.0,23,
43.0,8,19.0,42.1,,,,9,9,100.0,,,8.0,9.0,,,,4.0,25,
41.0,10,17.0,58.8,,,,4,5,80.0,,,3.0,8.0,,,,1.0,24,
42.0,12,20.0,60.0,,,,1,1,100.0,,,1.0,9.0,,,,3.0,25,
35.0,6,15.0,40.0,,,,3,4,75.0,,,7.0,9.0,,,,5.0,15,
45.0,8,17.0,47.1,,,,3,5,60.0,,,9.0,6.0,,,,5.0,19,
40.0,11,21.0,52.4,,,,3,4,75.0,,,7.0,12.0,,,,2.0,25,
36.0,6,14.0,42.9,,,,5,6,83.3,,,7.0,6.0,,,,2.0,17,
39.0,6,12.0,50.0,,,,3,3,100.0,,,5.0,11.0,,,,2.0,15,
42.0,5,13.0,38.5,,,,5,5,100.0,,,9.0,8.0,,,,1.0,15,
45.0,11,15.0,73.3,,,,1,1,100.0,,,5.0,10.0,,,,2.0,23,
39.0,6,14.0,42.9,,,,2,2,100.0,,,6.0,8.0,,,,3.0,14,
38.0,4,10.0,40.0,,,,2,2,100.0,,,3.0,5.0,,,,3.0,10,
42.0,7,15.0,46.7,,,,1,1,100.0,,,8.0,7.0,,,,2.0,15,
53.0,7,17.0,41.2,,,,4,5,80.0,,,9.0,5.0,,,,2.0,18,
41.0,10,13.0,76.9,,,,8,9,88.9,,,4.0,6.0,,,,3.0,28,
20.0,2,6.0,33.3,,,,2,2,100.0,,,3.0,4.0,,,,1.0,6,
,8,19.0,42.1,,,,6,9,66.7,,,9.0,10.0,,,,3.0,22,
45.0,15,23.0,65.2,,,,1,1,100.0,,,5.0,8.0,,,,4.0,31,
33.0,3,8.0,37.5,,,,0,0,,,,5.0,5.0,,,,1.0,6,
37.0,6,10.0,60.0,,,,1,3,33.3,,,4.0,6.0,,,,0.0,13,
21.0,3,10.0,30.0,,,,1,1,100.0,,,2.0,6.0,,,,1.0,7,
33.0,4,11.0,36.4,,,,2,2,100.0,,,4.0,11.0,,,,2.0,10,
40.0,6,11.0,54.5,,,,6,6,100.0,,,3.0,7.0,,,,2.0,18,
46.0,3,10.0,30.0,,,,4,4,100.0,,,5.0,7.0,,,,5.0,10,
37.0,8,14.0,57.1,,,,2,2,100.0,,,5.0,10.0,,,,3.0,18,
28.0,2,10.0,20.0,,,,3,4,75.0,,,2.0,3.0,,,,0.0,7,
33.0,4,8.0,50.0,,,,4,5,80.0,,,3.0,7.0,,,,4.0,12,
38.0,6,11.0,54.5,,,,3,4,75.0,,,7.0,5.0,,,,3.0,15,
42.0,7,11.0,63.6,,,,0,0,,,,2.0,16.0,,,,4.0,14,
30.0,2,8.0,25.0,,,,4,4,100.0,,,2.0,10.0,,,,2.0,8,
20.0,5,14.0,35.7,,,,2,2,100.0,,,3.0,1.0,,,,1.0,12,
7.0,0,1.0,0.0,,,,0,0,,,,0.0,2.0,,,,3.0,0,
,7,,,,,,3,6,50.0,,,,,,,,,17,
37.0,7,18.0,38.9,,,,2,2,100.0,,,5.0,6.0,,,,2.0,16,
42.0,5,17.0,29.4,,,,0,0,,,,3.0,6.0,,,,5.0,10,
40.0,2,11.0,18.2,,,,0,0,,,,6.0,8.0,,,,1.0,4,
24.0,2,4.0,50.0,,,,3,4,75.0,,,1.0,4.0,,,,3.0,7,
23.0,6,10.0,60.0,,,,9,14,64.3,,,1.0,2.0,,,,4.0,21,
44.0,7,17.0,41.2,,,,2,2,100.0,,,5.0,8.0,,,,0.0,16,
44.0,8,14.0,57.1,,,,3,3,100.0,,,12.0,8.0,,,,4.0,19,
39.0,3,13.0,23.1,,,,3,3,100.0,,,2.0,12.0,,,,3.0,9,
42.0,3,9.0,33.3,,,,11,12,91.7,,,5.0,11.0,,,,1.0,17,
40.0,5,12.0,41.7,,,,5,5,100.0,,,4.0,7.0,,,,2.0,15,
49.0,11,24.0,45.8,,,,3,4,75.0,,,5.0,6.0,,,,2.0,25,
33.0,6,11.0,54.5,,,,0,0,,,,0.0,8.0,,,,2.0,12,
,6,10.0,60.0,,,,2,2,100.0,,,3.0,5.0,,,,,14,
33.0,7,15.0,46.7,,,,3,3,100.0,,,6.0,5.0,,,,1.0,17,
40.0,2,8.0,25.0,,,,0,0,,,,2.0,5.0,,,,0.0,4,
43.0,7,19.0,36.8,,,,0,0,,,,1.0,7.0,,,,2.0,14,
37.0,7,14.0,50.0,,,,2,2,100.0,,,9.0,6.0,,,,1.0,16,
34.0,7,13.0,53.8,,,,5,5,100.0,,,3.0,3.0,,,,1.0,19,
32.0,4,9.0,44.4,,,,9,10,90.0,,,6.0,5.0,,,,3.0,17,
38.0,7,17.0,41.2,,,,2,3,66.7,,,1.0,8.0,,,,0.0,16,
41.0,7,19.0,36.8,,,,3,3,100.0,,,4.0,7.0,,,,,17,
39.0,6,14.0,42.9,,,,4,4,100.0,,,8.0,10.0,,,,1.0,16,
39.0,9,18.0,50.0,,,,7,7,100.0,,,8.0,5.0,,,,3.0,25,
44.0,5,20.0,25.0,,,,4,6,66.7,,,5.0,8.0,,,,3.0,14,
43.0,5,16.0,31.3,,,,1,2,50.0,,,6.0,9.0,,,,2.0,11,
28.0,3,9.0,33.3,,,,1,2,50.0,,,3.0,3.0,,,,2.0,7,
26.0,5,13.0,38.5,,,,3,3,100.0,,,5.0,3.0,,,,1.0,13,
41.0,6,18.0,33.3,,,,2,2,100.0,,,1.0,12.0,,,,3.0,14,
41.0,3,8.0,37.5,,,,4,6,66.7,,,6.0,6.0,,,,2.0,10,
42.0,5,13.0,38.5,,,,5,6,83.3,,,7.0,7.0,,,,0.0,15,
39.0,8,15.0,53.3,,,,5,5,100.0,,,7.0,6.0,,,,2.0,21,
42.0,8,17.0,47.1,,,,7,8,87.5,,,9.0,13.0,,,,3.0,23,
33.0,10,19.0,52.6,,,,7,10,70.0,,,6.0,9.0,,,,,27,
38.0,10,20.0,50.0,,,,2,3,66.7,,,10.0,9.0,,,,1.0,22,
37.0,4,8.0,50.0,,,,1,1,100.0,,,4.0,14.0,,,,2.0,9,
34.0,2,14.0,14.3,,,,2,2,100.0,,,5.0,7.0,,,,3.0,6,
37.0,2,9.0,22.2,,,,2,3,66.7,,,8.0,10.0,,,,3.0,6,
35.0,4,10.0,40.0,,,,6,6,100.0,,,2.0,9.0,,0.0,,1.0,14,
46.0,5,10.0,50.0,,,,4,5,80.0,2.0,8.0,10.0,10.0,1.0,0.0,,2.0,14,
46.0,4,9.0,44.4,,,,8,10,80.0,,,3.0,4.0,,0.0,,2.0,16,
42.0,6,16.0,37.5,,,,2,2,100.0,,,5.0,9.0,3.0,0.0,,0.0,14,
41.0,6,11.0,54.5,,,,2,2,100.0,1.0,9.0,10.0,10.0,3.0,0.0,,4.0,14,
34.0,3,7.0,42.9,,,,5,6,83.3,1.0,2.0,3.0,5.0,1.0,0.0,,4.0,11,
36.0,1,9.0,11.1,,,,2,2,100.0,,,4.0,4.0,,0.0,,3.0,4,
39.0,7,16.0,43.8,,,,2,4,50.0,1.0,6.0,7.0,8.0,1.0,0.0,,1.0,16,
30.0,1,8.0,12.5,,,,0,0,,,,5.0,4.0,1.0,0.0,,4.0,2,
32.0,3,9.0,33.3,,,,2,4,50.0,0.0,0.0,0.0,7.0,1.0,0.0,,1.0,8,
43.0,9,17.0,52.9,,,,2,3,66.7,,,6.0,4.0,,0.0,,5.0,20,
40.0,7,9.0,77.8,,,,6,6,100.0,,,1.0,3.0,,0.0,,0.0,20,
50.0,4,7.0,57.1,,,,5,7,71.4,,,7.0,17.0,0.0,0.0,,2.0,13,
39.0,5,8.0,62.5,,,,3,3,100.0,,,3.0,9.0,1.0,0.0,,1.0,13,
29.0,4,8.0,50.0,,,,3,3,100.0,,,3.0,4.0,0.0,1.0,,1.0,11,
30.0,6,9.0,66.7,,,,3,3,100.0,,,1.0,4.0,1.0,0.0,,0.0,15,
29.0,4,5.0,80.0,,,,1,3,33.3,,,2.0,1.0,,0.0,,1.0,9,
34.0,2,6.0,33.3,,,,2,2,100.0,,,2.0,4.0,,0.0,,4.0,6,
43.0,4,9.0,44.4,,,,5,5,100.0,,,9.0,8.0,,0.0,,1.0,13,
40.0,4,7.0,57.1,,,,6,8,75.0,,,2.0,9.0,,0.0,,2.0,14,
22.0,1,7.0,14.3,,,,2,2,100.0,0.0,0.0,0.0,2.0,,0.0,,1.0,4,
39.0,4,7.0,57.1,,,,0,0,,,,4.0,6.0,0.0,0.0,,0.0,8,
17.0,1,1.0,100.0,,,,0,0,,,,2.0,3.0,,0.0,,3.0,2,
37.0,1,8.0,12.5,,,,2,3,66.7,,,10.0,9.0,,0.0,,1.0,4,
35.0,3,8.0,37.5,,,,2,4,50.0,1.0,3.0,4.0,6.0,1.0,0.0,,2.0,8,
39.0,5,9.0,55.6,,,,3,3,100.0,,,5.0,3.0,,0.0,,3.0,13,
35.0,3,11.0,27.3,,,,6,6,100.0,,,2.0,5.0,,0.0,,3.0,12,
46.0,6,18.0,33.3,,,,6,6,100.0,,,5.0,5.0,,0.0,,3.0,18,
29.0,5,8.0,62.5,,,,0,0,,0.0,4.0,4.0,7.0,1.0,0.0,,1.0,10,
37.0,3,11.0,27.3,,,,0,0,,3.0,2.0,5.0,5.0,0.0,0.0,,0.0,6,
29.0,0,6.0,0.0,,,,2,2,100.0,,,5.0,2.0,,0.0,,1.0,2,
15.0,3,6.0,50.0,,,,0,0,,0.0,1.0,1.0,4.0,0.0,0.0,,0.0,6,
29.0,2,8.0,25.0,,,,4,5,80.0,,,2.0,7.0,,0.0,,2.0,8,
30.0,5,9.0,55.6,,,,1,2,50.0,0.0,1.0,1.0,5.0,2.0,0.0,,5.0,11,
22.0,2,7.0,28.6,,,,0,0,,,,1.0,7.0,,0.0,,1.0,4,
6.0,0,1.0,0.0,,,,1,2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,
37.0,7,12.0,58.3,,,,3,3,100.0,1.0,1.0,2.0,3.0,0.0,0.0,,1.0,17,
