MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-
48.0,8,20.0,40.0,,,,9,12,75.0,,,9.0,9.0,,,,2.0,25,
,9,18.0,50.0,,,,12,15,80.0,,,5.0,9.0,,,,5.0,30,
,12,23.0,52.2,,,,9,10,90.0,,,7.0,11.0,,,,3.0,33,
42.0,8,18.0,44.4,,,,8,10,80.0,,,4.0,6.0,,,,1.0,24,
46.0,12,19.0,63.2,,,,14,17,82.4,,,3.0,6.0,,,,5.0,38,
,9,20.0,45.0,,,,1,1,100.0,,,3.0,17.0,,,,4.0,19,
26.0,7,11.0,63.6,,,,9,10,90.0,,,1.0,10.0,,,,5.0,23,
48.0,10,21.0,47.6,,,,5,8,62.5,,,6.0,19.0,,,,2.0,25,
40.0,12,20.0,60.0,,,,12,12,100.0,,,11.0,11.0,,,,2.0,36,
48.0,9,25.0,36.0,,,,15,15,100.0,,,5.0,11.0,,,,4.0,33,
52.0,8,18.0,44.4,,,,6,9,66.7,,,11.0,7.0,,,,4.0,22,
,7,18.0,38.9,,,,8,8,100.0,,,6.0,5.0,,,,2.0,22,
47.0,10,17.0,58.8,,,,6,9,66.7,,,6.0,9.0,,,,1.0,26,
24.0,1,8.0,12.5,,,,2,5,40.0,,,3.0,4.0,,,,3.0,4,
43.0,8,18.0,44.4,,,,11,11,100.0,,,9.0,,,,,5.0,27,
48.0,7,18.0,38.9,,,,14,14,100.0,,,5.0,12.0,,,,3.0,28,
46.0,11,18.0,61.1,,,,12,15,80.0,,,5.0,16.0,,,,4.0,34,
,9,20.0,45.0,,,,22,23,95.7,,,5.0,14.0,,,,4.0,40,
40.0,9,19.0,47.4,,,,7,8,87.5,,,7.0,6.0,,,,3.0,25,
,10,28.0,35.7,,,,4,5,80.0,,,8.0,10.0,,,,1.0,24,
45.0,5,22.0,22.7,,,,12,13,92.3,,,6.0,9.0,,,,4.0,22,
46.0,14,25.0,56.0,,,,11,11,100.0,,,4.0,6.0,,,,0.0,39,
53.0,17,33.0,51.5,,,,14,15,93.3,,,7.0,10.0,,,,1.0,48,
44.0,10,23.0,43.5,,,,13,16,81.3,,,10.0,6.0,,,,2.0,33,
,11,25.0,44.0,,,,14,16,87.5,,,11.0,11.0,,,,4.0,36,
48.0,10,20.0,50.0,,,,14,18,77.8,,,5.0,18.0,,,,2.0,34,
39.0,4,16.0,25.0,,,,9,11,81.8,,,5.0,15.0,,,,4.0,17,
37.0,7,14.0,50.0,,,,8,12,66.7,,,6.0,13.0,,,,3.0,22,
44.0,14,25.0,56.0,,,,9,12,75.0,,,8.0,11.0,,,,3.0,37,
47.0,12,22.0,54.5,,,,6,9,66.7,,,7.0,8.0,,,,4.0,30,
,8,24.0,33.3,,,,12,13,92.3,,,6.0,13.0,,,,3.0,28,
48.0,14,29.0,48.3,,,,9,10,90.0,,,10.0,10.0,,,,3.0,37,
48.0,9,22.0,40.9,,,,10,11,90.9,,,9.0,11.0,,,,2.0,28,
53.0,8,21.0,38.1,,,,5,6,83.3,,,11.0,13.0,,,,3.0,21,
48.0,10,20.0,50.0,,,,10,10,100.0,,,1.0,10.0,,,,2.0,30,
48.0,13,19.0,68.4,,,,10,10,100.0,,,9.0,14.0,,,,3.0,36,
48.0,13,25.0,52.0,,,,11,12,91.7,,,3.0,6.0,,,,3.0,37,
45.0,10,25.0,40.0,,,,9,10,90.0,,,10.0,10.0,,,,1.0,29,
48.0,15,25.0,60.0,,,,8,9,88.9,,,5.0,8.0,,,,2.0,38,
48.0,13,21.0,61.9,,,,9,11,81.8,,,2.0,8.0,,,,5.0,35,
48.0,16,24.0,66.7,,,,3,5,60.0,,,5.0,11.0,,,,2.0,35,
